num_nodes,signal_quality,topology,n_seeds,beta_gat_mean,beta_gat_std,beta_gat_se_mean,beta_gat_ci_lower_mean,beta_gat_ci_upper_mean,beta_gat_best,beta_gat_best_seed,beta_gap_at_best,exceeds_hst_bound_at_best,beta_hst_max_mean,beta_gap_mean,beta_gap_std,exceeds_hst_bound_rate,convergence_warning_rate,fit_success_rate,fit_r2_mean,unanimous_reach_consensus_rate_mean,unanimous_correct_consensus_rate_mean,unanimous_wrong_only_consensus_rate_mean,unanimous_mean_first_consensus_t_mean,majority_reach_consensus_rate_mean,majority_correct_consensus_rate_mean,majority_wrong_only_consensus_rate_mean,majority_mean_first_consensus_t_mean
10,0.55,complete,5,0.0980787,0.0207808,0.0026413,0.0929018,0.103256,0.131123,0,-0.270219,false,0.401341,-0.303263,0.0207808,0,1,1,0.984719,0.9902,0.9146,0.0756,10.0121,1,0.9606,0.0394,1.2358
10,0.55,ws_p_0.0,5,0.0424737,0.0026099,0.00106146,0.0403933,0.0445541,0.0458013,3,-0.35554,false,0.401341,-0.358868,0.0026099,0,1,1,0.976567,0.8662,0.8458,0.0204,33.8357,1,0.9884,0.0116,1.3106
10,0.55,ws_p_0.1,5,0.0397388,0.00767507,0.00083188,0.0381083,0.0413692,0.0513442,0,-0.349997,false,0.401341,-0.361603,0.00767507,0,0.4,1,0.984483,0.8886,0.867,0.0216,31.7772,1,0.993,0.007,1.2988
10,0.65,complete,5,0.351834,0.0460348,0.00496214,0.342108,0.36156,0.379047,0,-0.859032,false,1.23808,-0.886244,0.0460348,0,0,1,0.992746,1,0.9906,0.0094,5.133,1,0.9928,0.0072,1.1898
10,0.65,ws_p_0.0,5,0.26827,0.00997232,0.00466128,0.259134,0.277406,0.279269,0,-0.95881,false,1.23808,-0.969808,0.00997232,0,0,1,0.990195,0.9992,0.999,0.0002,7.60707,1,1,0,1.2018
10,0.65,ws_p_0.1,5,0.251684,0.0155734,0.00482959,0.242218,0.26115,0.264908,1,-0.97317,false,1.23808,-0.986394,0.0155734,0,0,1,0.987805,0.9998,0.9998,0,7.93628,1,1,0,1.1992
10,0.8,complete,5,1.03778,0.0362753,0.0240957,0.990554,1.08501,1.08605,2,-1.68654,false,2.77259,-1.73481,0.0362753,0,0,1,0.964889,1,0.9966,0.0034,2.2232,1,0.9968,0.0032,1.0344
10,0.8,ws_p_0.0,5,0.845588,0.0364435,0.0216704,0.803115,0.888061,0.887761,2,-1.88483,false,2.77259,-1.927,0.0364435,0,0,1,0.990362,1,1,0,3.1396,1,1,0,1.0334
10,0.8,ws_p_0.1,5,0.844387,0.034352,0.0220028,0.801263,0.887512,0.885238,2,-1.88735,false,2.77259,-1.9282,0.034352,0,0,1,0.989838,1,1,0,3.1812,1,1,0,1.0342
100,0.55,complete,5,0.182247,0.0401753,0.00628885,0.169921,0.194573,0.240347,1,-0.160994,false,0.401341,-0.219095,0.0401753,0,0,1,0.974265,0.9982,0.981,0.0172,14.4637,1,0.99,0.01,1.0508
