seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
0,10,0.55,complete,1.49812,0.0045405,1.48922,1.50701,0.401341,1.09677,false,true,scipy_anchored_t2,true,3.52023e-05,0.999948,,1,0.656,0.344,2.769,1,0.656,0.344,1.343,n_10/complete,artifacts/training_metrics_majority/grid_runs/n_10/q_0p55/seed_0/metrics.json
0,10,0.55,ws_p_0.0,0.0500295,0.00346199,0.0432441,0.0568148,0.401341,-0.351312,false,true,scipy_anchored_t2,true,0.00742404,0.925354,,0.538,0.453,0.085,12.3476,1,0.807,0.193,1.407,n_10/ws_p_0.0_seed_0,artifacts/training_metrics_majority/grid_runs/n_10/q_0p55/seed_0/metrics.json
0,10,0.55,ws_p_0.1,0.0500295,0.00346199,0.0432441,0.0568148,0.401341,-0.351312,false,true,scipy_anchored_t2,true,0.00742404,0.925354,,0.538,0.453,0.085,12.3476,1,0.807,0.193,1.407,n_10/ws_p_0.1_seed_0,artifacts/training_metrics_majority/grid_runs/n_10/q_0p55/seed_0/metrics.json
1,10,0.55,complete,1.03657,0.00919383,1.01855,1.05459,0.401341,0.635231,false,true,scipy_anchored_t2,true,0.000133944,0.999362,,1,0.658,0.342,2.783,1,0.658,0.342,1.357,n_10/complete,artifacts/training_metrics_majority/grid_runs/n_10/q_0p55/seed_1/metrics.json
1,10,0.55,ws_p_0.0,0.0394078,0.0025405,0.0344285,0.0443871,0.401341,-0.361934,false,true,scipy_anchored_t2,true,0.00671826,0.946623,,0.541,0.456,0.085,13.3327,1,0.817,0.183,1.471,n_10/ws_p_0.0_seed_1,artifacts/training_metrics_majority/grid_runs/n_10/q_0p55/seed_1/metrics.json
1,10,0.55,ws_p_0.1,0.0511391,0.00326651,0.0447368,0.0575413,0.401341,-0.350202,false,true,scipy_anchored_t2,true,0.00654153,0.934694,,0.567,0.468,0.099,12.1041,1,0.804,0.196,1.443,n_10/ws_p_0.1_seed_1,artifacts/training_metrics_majority/grid_runs/n_10/q_0p55/seed_1/metrics.json
2,10,0.55,complete,1.76092,0.074105,1.61568,1.90616,0.401341,1.35958,false,true,scipy_anchored_t2,true,0.000305469,0.992144,,1,0.651,0.349,2.778,1,0.651,0.349,1.331,n_10/complete,artifacts/training_metrics_majority/grid_runs/n_10/q_0p55/seed_2/metrics.json
2,10,0.55,ws_p_0.0,0.0446125,0.00286269,0.0390017,0.0502233,0.401341,-0.356729,false,true,scipy_anchored_t2,true,0.00661781,0.940676,,0.521,0.436,0.085,13.1324,1,0.832,0.168,1.382,n_10/ws_p_0.0_seed_2,artifacts/training_metrics_majority/grid_runs/n_10/q_0p55/seed_2/metrics.json
2,10,0.55,ws_p_0.1,0.0465764,0.00383505,0.0390598,0.054093,0.401341,-0.354765,false,true,scipy_anchored_t2,true,0.00772635,0.902668,,0.559,0.459,0.1,14.1628,1,0.805,0.195,1.394,n_10/ws_p_0.1_seed_2,artifacts/training_metrics_majority/grid_runs/n_10/q_0p55/seed_2/metrics.json
3,10,0.55,complete,0.982644,0.0160383,0.951209,1.01408,0.401341,0.581302,false,true,scipy_anchored_t2,true,0.000237229,0.997768,,1,0.668,0.332,2.701,1,0.668,0.332,1.314,n_10/complete,artifacts/training_metrics_majority/grid_runs/n_10/q_0p55/seed_3/metrics.json
