num_nodes,signal_quality,topology,n_seeds,beta_gat_mean,beta_gat_std,beta_gat_se_mean,beta_gat_ci_lower_mean,beta_gat_ci_upper_mean,beta_gat_best,beta_gat_best_seed,beta_gap_at_best,exceeds_hst_bound_at_best,beta_hst_max_mean,beta_gap_mean,beta_gap_std,exceeds_hst_bound_rate,convergence_warning_rate,fit_success_rate,fit_r2_mean,unanimous_reach_consensus_rate_mean,unanimous_correct_consensus_rate_mean,unanimous_wrong_only_consensus_rate_mean,unanimous_mean_first_consensus_t_mean,majority_reach_consensus_rate_mean,majority_correct_consensus_rate_mean,majority_wrong_only_consensus_rate_mean,majority_mean_first_consensus_t_mean
10,0.55,complete,5,1.50528,0.5268,0.0338034,1.43902,1.57153,2.24813,4,1.84679,false,0.401341,1.10394,0.5268,0,1,1,0.9974,1,0.6578,0.3422,2.7564,1,0.6578,0.3422,1.331
10,0.55,ws_p_0.0,5,0.0456459,0.00684407,0.00310422,0.0395617,0.0517301,0.0549638,3,-0.346378,false,0.401341,-0.355695,0.00684407,0,1,1,0.933229,0.5452,0.455,0.0902,12.9397,1,0.8112,0.1888,1.3854
10,0.55,ws_p_0.1,5,0.0565673,0.0102313,0.00421556,0.048305,0.0648296,0.0692252,3,-0.332116,false,0.401341,-0.344774,0.0102313,0,1,1,0.9085,0.5508,0.4552,0.0956,12.1433,0.9998,0.7952,0.2046,1.37967
10,0.65,complete,5,1.55852,0.174839,0.009775,1.53936,1.57768,1.84699,0,0.608912,false,1.23808,0.320439,0.174839,0,1,1,0.999752,1,0.8728,0.1272,2.4696,1,0.8728,0.1272,1.2098
10,0.65,ws_p_0.0,5,0.235225,0.010201,0.0175696,0.200789,0.269661,0.24662,1,-0.991458,false,1.23808,-1.00285,0.010201,0,1,1,0.943242,0.8638,0.8574,0.0064,7.4171,1,0.98,0.02,1.2294
10,0.65,ws_p_0.1,5,0.298264,0.0560592,0.0206825,0.257727,0.338801,0.38748,4,-0.850599,false,1.23808,-0.939815,0.0560592,0,1,1,0.949563,0.8482,0.838,0.0102,6.98806,1,0.9666,0.0334,1.2334
10,0.8,complete,5,2.47981,0.306419,0.0254629,2.42991,2.52972,2.97242,1,0.199836,true,2.77259,-0.292776,0.306419,0.2,0,1,0.999738,1,0.9924,0.0076,1.974,1,0.9924,0.0076,1.0368
10,0.8,ws_p_0.0,5,1.00696,0.0438189,0.0209406,0.96592,1.04801,1.0679,2,-1.70469,false,2.77259,-1.76563,0.0438189,0,0,1,0.996575,0.9988,0.9988,0,3.01492,1,1,0,1.0366
10,0.8,ws_p_0.1,5,1.01333,0.0647138,0.0189885,0.976117,1.05055,1.11872,2,-1.65387,false,2.77259,-1.75925,0.0647138,0,0,1,0.997048,0.9962,0.9962,0,3.03998,1,0.9998,0.0002,1.0374
100,0.55,complete,5,3.92231,3.47934,19.7438,-34.7748,42.6194,10,3,9.59866,false,0.401341,3.52097,3.47934,0,1,1,0.999363,1,0.8566,0.1434,2.1522,1,0.8566,0.1434,1.0528
100,0.55,ws_p_0.0,5,0.045013,0.00160564,0.00299122,0.0391503,0.0508756,0.0460199,1,-0.355322,false,0.401341,-0.356328,0.00160564,0,1,1,0.936184,0.0006,0.0006,0,27.6667,1,0.9898,0.0102,1.055
100,0.55,ws_p_0.1,5,0.0506534,0.00262909,0.00359659,0.0436043,0.0577026,0.0530023,3,-0.348339,false,0.401341,-0.350688,0.00262909,0,1,1,0.921164,0.0006,0.0006,0,84.3333,1,0.9846,0.0154,1.0544
100,0.65,complete,5,2.352,1.41499,0.123641,2.10967,2.59434,3.84483,2,2.60675,true,1.23808,1.11393,1.41499,0.8,0,1,0.995948,1,0.9996,0.0004,2.0012,1,0.9996,0.0004,1.0006
