seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
0,10,0.55,complete,0.132208,0.00546002,0.121506,0.142909,0.401341,-0.269134,false,true,scipy_anchored_t2,true,0.00906628,0.984141,0.682214,0.989,0.801,0.188,14.7462,1,0.896,0.104,1.259,n_10/complete,artifacts/training_metrics_vector/grid_runs/n_10/q_0p55/seed_0/metrics.json
0,10,0.55,ws_p_0.0,0.0335747,0.000488727,0.0326168,0.0345326,0.401341,-0.367767,false,false,scipy_anchored_t2,true,0.00504318,0.997613,0.31043,0.953,0.947,0.006,29.852,1,1,0,1.265,n_10/ws_p_0.0_seed_0,artifacts/training_metrics_vector/grid_runs/n_10/q_0p55/seed_0/metrics.json
0,10,0.55,ws_p_0.1,0.0423874,0.00053315,0.0413424,0.0434323,0.401341,-0.358954,false,false,scipy_anchored_t2,true,0.00504285,0.997695,0.99452,0.96,0.948,0.012,24.9208,1,0.997,0.003,1.259,n_10/ws_p_0.1_seed_0,artifacts/training_metrics_vector/grid_runs/n_10/q_0p55/seed_0/metrics.json
1,10,0.55,complete,0.0605265,0.0010964,0.0583776,0.0626754,0.401341,-0.340815,false,false,scipy_anchored_t2,true,0.00465547,0.998474,0.706668,0.967,0.938,0.029,17.9948,1,0.986,0.014,1.281,n_10/complete,artifacts/training_metrics_vector/grid_runs/n_10/q_0p55/seed_1/metrics.json
1,10,0.55,ws_p_0.0,0.0452072,0.00039676,0.0444296,0.0459848,0.401341,-0.356134,false,false,scipy_anchored_t2,true,0.00374744,0.998808,0.0989142,1,0.997,0.003,1,1,1,0,1,n_10/ws_p_0.0_seed_1,artifacts/training_metrics_vector/grid_runs/n_10/q_0p55/seed_1/metrics.json
1,10,0.55,ws_p_0.1,0.0290604,0.000228522,0.0286125,0.0295083,0.401341,-0.372281,false,false,scipy_anchored_t2,true,0.00260405,0.999423,0.311985,0.853,0.847,0.006,39.4654,1,0.999,0.001,1.347,n_10/ws_p_0.1_seed_1,artifacts/training_metrics_vector/grid_runs/n_10/q_0p55/seed_1/metrics.json
2,10,0.55,complete,0.0857495,0.00154052,0.0827301,0.0887688,0.401341,-0.315592,false,false,scipy_anchored_t2,true,0.00416873,0.99775,0.250825,1,0.999,0.001,1,1,0.999,0.001,1,n_10/complete,artifacts/training_metrics_vector/grid_runs/n_10/q_0p55/seed_2/metrics.json
2,10,0.55,ws_p_0.0,0.046928,0.00023773,0.046462,0.0473939,0.401341,-0.354413,false,false,scipy_anchored_t2,true,0.0021059,0.999589,0.492891,0.987,0.977,0.01,21.0831,1,0.997,0.003,1.266,n_10/ws_p_0.0_seed_2,artifacts/training_metrics_vector/grid_runs/n_10/q_0p55/seed_2/metrics.json
2,10,0.55,ws_p_0.1,0.0372797,0.000240116,0.0368091,0.0377503,0.401341,-0.364062,false,false,scipy_anchored_t2,true,0.00256731,0.999476,0.665074,0.992,0.987,0.005,23.9224,1,1,0,1.272,n_10/ws_p_0.1_seed_2,artifacts/training_metrics_vector/grid_runs/n_10/q_0p55/seed_2/metrics.json
3,10,0.55,complete,0.223736,0.0077795,0.208488,0.238983,0.401341,-0.177605,false,true,scipy_anchored_t2,true,0.00622778,0.987177,0.786081,1,0.79,0.21,9.954,1,0.894,0.106,1.276,n_10/complete,artifacts/training_metrics_vector/grid_runs/n_10/q_0p55/seed_3/metrics.json
3,10,0.55,ws_p_0.0,0.0514776,0.000385965,0.0507211,0.0522341,0.401341,-0.349864,false,false,scipy_anchored_t2,true,0.00306308,0.999034,0.237717,0.992,0.973,0.019,18.3478,1,0.992,0.008,1.263,n_10/ws_p_0.0_seed_3,artifacts/training_metrics_vector/grid_runs/n_10/q_0p55/seed_3/metrics.json
3,10,0.55,ws_p_0.1,0.0700983,0.000757659,0.0686133,0.0715833,0.401341,-0.331243,false,true,scipy_anchored_t2,true,0.00292368,0.997622,0.778144,0.615,0.573,0.042,30.374,1,0.987,0.013,1.285,n_10/ws_p_0.1_seed_3,artifacts/training_metrics_vector/grid_runs/n_10/q_0p55/seed_3/metrics.json
4,10,0.55,complete,0.0370182,0.00287314,0.0313869,0.0426494,0.401341,-0.364323,false,true,scipy_anchored_t2,true,0.00471574,0.9871,0.709364,1,0.695,0.305,1,1,1,0,1,n_10/complete,artifacts/training_metrics_vector/grid_runs/n_10/q_0p55/seed_4/metrics.json
4,10,0.55,ws_p_0.0,0.275796,0.0120327,0.252212,0.29938,0.401341,-0.125545,false,true,scipy_anchored_t2,true,0.00107072,0.957615,0.700821,0.219,0.172,0.047,7.6895,1,0.9,0.1,1.267,n_10/ws_p_0.0_seed_4,artifacts/training_metrics_vector/grid_runs/n_10/q_0p55/seed_4/metrics.json
4,10,0.55,ws_p_0.1,0.0532793,0.00123922,0.0508505,0.0557081,0.401341,-0.348062,false,true,scipy_anchored_t2,true,0.00402271,0.990553,0.698305,0.753,0.751,0.002,43.5179,1,1,0,1.267,n_10/ws_p_0.1_seed_4,artifacts/training_metrics_vector/grid_runs/n_10/q_0p55/seed_4/metrics.json
0,10,0.65,complete,0.407698,0.0082307,0.391566,0.42383,1.23808,-0.83038,false,false,scipy_anchored_t2,true,0.00414727,0.99564,0.599,1,0.991,0.009,5.401,1,0.994,0.006,1.175,n_10/complete,artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_0/metrics.json
0,10,0.65,ws_p_0.0,0.357299,0.00450335,0.348473,0.366126,1.23808,-0.880779,false,false,scipy_anchored_t2,true,0.00169937,0.999491,0.10454,1,1,0,5.455,1,1,0,1.194,n_10/ws_p_0.0_seed_0,artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_0/metrics.json
0,10,0.65,ws_p_0.1,0.289684,0.00313124,0.283547,0.295821,1.23808,-0.948394,false,false,scipy_anchored_t2,true,0.00175627,0.999333,0.085216,1,1,0,5.987,1,1,0,1.191,n_10/ws_p_0.1_seed_0,artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_0/metrics.json
1,10,0.65,complete,0.671125,0.0259761,0.620213,0.722037,1.23808,-0.566953,false,false,scipy_anchored_t2,true,0.00338448,0.997434,0.145826,1,1,0,3.373,1,1,0,1.187,n_10/complete,artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_1/metrics.json
1,10,0.65,ws_p_0.0,0.307401,0.00504725,0.297509,0.317294,1.23808,-0.930677,false,false,scipy_anchored_t2,true,0.00238011,0.998967,0.0281765,1,1,0,5.984,1,1,0,1.232,n_10/ws_p_0.0_seed_1,artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_1/metrics.json
1,10,0.65,ws_p_0.1,0.320059,0.00381213,0.312587,0.327531,1.23808,-0.918019,false,false,scipy_anchored_t2,true,0.0017811,0.999369,0.0469656,1,1,0,5.813,1,1,0,1.237,n_10/ws_p_0.1_seed_1,artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_1/metrics.json
2,10,0.65,complete,0.466726,0.0092872,0.448523,0.484928,1.23808,-0.771353,false,false,scipy_anchored_t2,true,0.00291792,0.995821,0.102978,1,0.996,0.004,4.303,1,0.996,0.004,1.182,n_10/complete,artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_2/metrics.json
2,10,0.65,ws_p_0.0,0.339475,0.00384364,0.331942,0.347008,1.23808,-0.898604,false,false,scipy_anchored_t2,true,0.00163237,0.999493,0.0930814,1,1,0,5.537,1,1,0,1.19,n_10/ws_p_0.0_seed_2,artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_2/metrics.json
2,10,0.65,ws_p_0.1,0.319131,0.0024524,0.314324,0.323937,1.23808,-0.918948,false,false,scipy_anchored_t2,true,0.00118769,0.99969,0.0863425,1,1,0,5.755,1,1,0,1.193,n_10/ws_p_0.1_seed_2,artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_2/metrics.json
3,10,0.65,complete,0.416608,0.00363131,0.409491,0.423726,1.23808,-0.82147,false,false,scipy_anchored_t2,true,0.00110525,0.999186,0.0427723,1,0.993,0.007,3.443,1,0.994,0.006,1.178,n_10/complete,artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_3/metrics.json
3,10,0.65,ws_p_0.0,0.278966,0.00328076,0.272536,0.285397,1.23808,-0.959112,false,false,scipy_anchored_t2,true,0.00193658,0.999217,0.0208008,1,1,0,5.681,1,1,0,1.166,n_10/ws_p_0.0_seed_3,artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_3/metrics.json
3,10,0.65,ws_p_0.1,0.248978,0.000903508,0.247207,0.250749,1.23808,-0.9891,false,false,scipy_anchored_t2,true,0.000700317,0.999861,0.0233609,1,1,0,6.735,1,1,0,1.19,n_10/ws_p_0.1_seed_3,artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_3/metrics.json
4,10,0.65,complete,0.302314,0.0207254,0.261693,0.342935,1.23808,-0.935764,false,false,scipy_anchored_t2,true,0.0127361,0.951355,0.499576,1,0.975,0.025,6.724,1,1,0,1.192,n_10/complete,artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_4/metrics.json
4,10,0.65,ws_p_0.0,0.293894,0.00280329,0.2884,0.299389,1.23808,-0.944184,false,false,scipy_anchored_t2,true,0.00161842,0.99943,0.615128,1,1,0,6.019,1,1,0,1.201,n_10/ws_p_0.0_seed_4,artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_4/metrics.json
4,10,0.65,ws_p_0.1,0.256022,0.00288185,0.250373,0.26167,1.23808,-0.982057,false,false,scipy_anchored_t2,true,0.00208152,0.998856,0.0467611,1,1,0,6.647,1,1,0,1.2,n_10/ws_p_0.1_seed_4,artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_4/metrics.json
0,10,0.8,complete,2.41282,0.0616322,2.29202,2.53361,2.77259,-0.359771,false,false,scipy_anchored_t2,true,0.000209644,0.998579,0.0610674,1,0.996,0.004,2.175,1,0.996,0.004,1.033,n_10/complete,artifacts/training_metrics_vector/grid_runs/n_10/q_0p8/seed_0/metrics.json
0,10,0.8,ws_p_0.0,1.11061,0.0371871,1.03772,1.18349,2.77259,-1.66198,false,false,scipy_anchored_t2,true,0.000838011,0.999356,0.0256341,1,1,0,2.747,1,1,0,1.035,n_10/ws_p_0.0_seed_0,artifacts/training_metrics_vector/grid_runs/n_10/q_0p8/seed_0/metrics.json
0,10,0.8,ws_p_0.1,1.19596,0.0338673,1.12958,1.26234,2.77259,-1.57663,false,false,scipy_anchored_t2,true,0.000612469,0.99969,0.0208959,1,1,0,2.708,1,1,0,1.033,n_10/ws_p_0.1_seed_0,artifacts/training_metrics_vector/grid_runs/n_10/q_0p8/seed_0/metrics.json
1,10,0.8,complete,2.37966,0.110173,2.16373,2.5956,2.77259,-0.392927,false,false,scipy_anchored_t2,true,0.000166911,0.999913,0.0141482,1,1,0,2.25,1,1,0,1.035,n_10/complete,artifacts/training_metrics_vector/grid_runs/n_10/q_0p8/seed_1/metrics.json
1,10,0.8,ws_p_0.0,1.05694,0.0366719,0.985062,1.12881,2.77259,-1.71565,false,false,scipy_anchored_t2,true,0.000909398,0.999296,0.0146539,1,1,0,2.74,1,1,0,1.045,n_10/ws_p_0.0_seed_1,artifacts/training_metrics_vector/grid_runs/n_10/q_0p8/seed_1/metrics.json
