num_nodes,signal_quality,topology,n_seeds,beta_gat_mean,beta_gat_std,beta_gat_se_mean,beta_gat_ci_lower_mean,beta_gat_ci_upper_mean,beta_gat_best,beta_gat_best_seed,beta_gap_at_best,exceeds_hst_bound_at_best,beta_hst_max_mean,beta_gap_mean,beta_gap_std,exceeds_hst_bound_rate,convergence_warning_rate,fit_success_rate,fit_r2_mean,unanimous_reach_consensus_rate_mean,unanimous_correct_consensus_rate_mean,unanimous_wrong_only_consensus_rate_mean,unanimous_mean_first_consensus_t_mean,majority_reach_consensus_rate_mean,majority_correct_consensus_rate_mean,majority_wrong_only_consensus_rate_mean,majority_mean_first_consensus_t_mean
10,0.55,complete,5,0.107848,0.0737698,0.00374992,0.100498,0.115197,0.223736,3,-0.177605,false,0.401341,-0.293494,0.0737698,0,0.6,1,0.990929,0.9912,0.8446,0.1466,8.93901,1,0.955,0.045,1.1632
10,0.55,ws_p_0.0,5,0.0905967,0.10374,0.00270838,0.0852884,0.095905,0.275796,4,-0.125545,false,0.401341,-0.310745,0.10374,0,0.2,1,0.990532,0.8302,0.8132,0.017,15.5945,1,0.9778,0.0222,1.2122
10,0.55,ws_p_0.1,5,0.046421,0.0158814,0.000599733,0.0452456,0.0475965,0.0700983,3,-0.331243,false,0.401341,-0.35492,0.0158814,0,0.4,1,0.996954,0.8346,0.8212,0.0134,32.4401,1,0.9966,0.0034,1.286
10,0.65,complete,5,0.452894,0.135877,0.0135701,0.426297,0.479491,0.671125,1,-0.566953,false,1.23808,-0.785184,0.135877,0,0,1,0.987887,1,0.991,0.009,4.6488,1,0.9968,0.0032,1.1828
10,0.65,ws_p_0.0,5,0.315407,0.0323613,0.00389566,0.307772,0.323043,0.357299,0,-0.880779,false,1.23808,-0.922671,0.0323613,0,0,1,0.99932,1,1,0,5.7352,1,1,0,1.1966
10,0.65,ws_p_0.1,5,0.286775,0.0336807,0.00263622,0.281608,0.291942,0.320059,1,-0.918019,false,1.23808,-0.951304,0.0336807,0,0,1,0.999422,1,1,0,6.1874,1,1,0,1.2022
10,0.8,complete,5,2.39928,0.521058,0.0776899,2.24701,2.55155,2.97169,4,0.199098,true,2.77259,-0.373308,0.521058,0.2,0,1,0.999576,1,0.998,0.002,2.1258,1,0.9982,0.0018,1.0352
10,0.8,ws_p_0.0,5,1.01648,0.169224,0.0287794,0.960072,1.07289,1.13808,2,-1.63451,false,2.77259,-1.75611,0.169224,0,0,1,0.998677,1,1,0,2.8028,1,1,0,1.0382
10,0.8,ws_p_0.1,5,1.01109,0.209329,0.0157836,0.980155,1.04203,1.19596,0,-1.57663,false,2.77259,-1.7615,0.209329,0,0,1,0.999776,1,1,0,2.8758,1,1,0,1.0378
100,0.55,complete,5,0.247296,0.143581,0.0128416,0.222127,0.272466,0.428055,3,0.0267136,true,0.401341,-0.154045,0.143581,0.2,0,1,0.970248,0.999,0.981,0.018,12.9994,1,0.9976,0.0024,1.05
