seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
0,10,0.8,complete,2.21752,0.053242,2.11317,2.32187,2.77259,-0.555069,false,false,scipy_anchored_t2,true,0.000206162,0.99842,0.0184354,1,0.996,0.004,2.21,1,0.996,0.004,1.028,n_10/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_0/metrics.json
0,10,0.8,ws_p_0.0,0.870304,0.0191395,0.832792,0.907817,2.77259,-1.90228,false,false,scipy_anchored_t2,true,0.000639359,0.99961,0.0299121,1,1,0,3.015,1,1,0,1.028,n_10/ws_p_0.0_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_0/metrics.json
0,10,0.8,ws_p_0.1,0.78403,0.0150237,0.754584,0.813476,2.77259,-1.98856,false,false,scipy_anchored_t2,true,0.000651126,0.999541,0.0258993,1,1,0,3.079,1,1,0,1.028,n_10/ws_p_0.1_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_0/metrics.json
1,10,0.8,complete,2.51383,0.0164054,2.48167,2.54598,2.77259,-0.258763,false,false,scipy_anchored_t2,true,5.77689e-05,0.999918,0.0168014,1,0.999,0.001,2.253,1,0.999,0.001,1.035,n_10/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_1/metrics.json
1,10,0.8,ws_p_0.0,0.788353,0.0151669,0.758627,0.81808,2.77259,-1.98424,false,false,scipy_anchored_t2,true,0.000667773,0.999538,0.0212039,1,1,0,3.096,1,1,0,1.039,n_10/ws_p_0.0_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_1/metrics.json
1,10,0.8,ws_p_0.1,0.735474,0.0198898,0.696491,0.774457,2.77259,-2.03711,false,false,scipy_anchored_t2,true,0.000875921,0.999255,0.016842,1,1,0,3.118,1,1,0,1.04,n_10/ws_p_0.1_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_1/metrics.json
2,10,0.8,complete,2.87451,0.00834705,2.85815,2.89087,2.77259,0.101922,true,false,scipy_anchored_t2,true,1.27836e-05,0.99999,0.0234207,1,0.998,0.002,2.113,1,0.998,0.002,1.027,n_10/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_2/metrics.json
2,10,0.8,ws_p_0.0,0.771875,0.0141236,0.744194,0.799557,2.77259,-2.00071,false,false,scipy_anchored_t2,true,0.000597642,0.999581,0.0329686,1,1,0,2.973,1,1,0,1.029,n_10/ws_p_0.0_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_2/metrics.json
2,10,0.8,ws_p_0.1,0.743915,0.0133439,0.717761,0.770069,2.77259,-2.02867,false,false,scipy_anchored_t2,true,0.000643947,0.999452,0.0503736,1,1,0,3.086,1,1,0,1.03,n_10/ws_p_0.1_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_2/metrics.json
3,10,0.8,complete,2.01125,0.0199434,1.97216,2.05034,2.77259,-0.761339,false,false,scipy_anchored_t2,true,9.85791e-05,0.999661,0.00752258,1,0.993,0.007,2.168,1,0.993,0.007,1.048,n_10/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_3/metrics.json
3,10,0.8,ws_p_0.0,0.670831,0.0106448,0.649968,0.691694,2.77259,-2.10176,false,false,scipy_anchored_t2,true,0.000763054,0.999278,0.00924169,1,1,0,3.35,1,1,0,1.036,n_10/ws_p_0.0_seed_3,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_3/metrics.json
3,10,0.8,ws_p_0.1,0.706815,0.0134327,0.680487,0.733142,2.77259,-2.06577,false,false,scipy_anchored_t2,true,0.000850909,0.999217,0.0126096,1,1,0,3.292,1,1,0,1.036,n_10/ws_p_0.1_seed_3,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_3/metrics.json
4,10,0.8,complete,1.90401,0.0108851,1.88267,1.92534,2.77259,-0.868584,false,false,scipy_anchored_t2,true,8.58781e-05,0.999874,0.0245977,1,0.997,0.003,2.372,1,0.998,0.002,1.034,n_10/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_4/metrics.json
4,10,0.8,ws_p_0.0,0.730539,0.0113476,0.708298,0.75278,2.77259,-2.04205,false,false,scipy_anchored_t2,true,0.000762799,0.999112,0.0304475,1,1,0,3.264,1,1,0,1.035,n_10/ws_p_0.0_seed_4,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_4/metrics.json
4,10,0.8,ws_p_0.1,0.702872,0.0127197,0.677942,0.727802,2.77259,-2.06972,false,false,scipy_anchored_t2,true,0.000899483,0.998782,0.0312368,1,1,0,3.331,1,1,0,1.037,n_10/ws_p_0.1_seed_4,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_4/metrics.json
